# Color - Number - Repetition
RED,ONE,3
RED,THREE,3
RED,FOUR,3
RED,FIVE,3
RED,SIX,2
RED,SEVEN,2
RED,EIGHT,2
RED,NINE,2
RED,TEN,2
RED,JOKER,2
GREEN,ONE,3
GREEN,THREE,3
GREEN,FOUR,3
GREEN,FIVE,3
GREEN,SIX,2
GREEN,SEVEN,2
GREEN,EIGHT,2
GREEN,NINE,2
GREEN,TEN,2
GREEN,JOKER,2
YELLOW,ONE,3
YELLOW,THREE,3
YELLOW,FOUR,3
YELLOW,FIVE,3
YELLOW,SIX,2
YELLOW,SEVEN,2
YELLOW,EIGHT,2
YELLOW,NINE,2
YELLOW,TEN,2
YELLOW,JOKER,2
BLUE,ONE,3
BLUE,THREE,3
BLUE,FOUR,3
BLUE,FIVE,3
BLUE,SIX,2
BLUE,SEVEN,2
BLUE,EIGHT,2
BLUE,NINE,2
BLUE,TEN,2
BLUE,JOKER,2
JOKER,TWO,12
RED,ONE,1
JOKER,TWO,1
RED,THREE,1
GREEN,FOUR,1
RED,ONE,1
JOKER,TWO,1
RED,JOKER,1
RED,THREE,1
RED,JOKER,1
